"","Survey","Transect","Team","Species","ID","Distance","Detected","Beaufort","Glare","Subjective","Swell","TOD","Group.size","Group","W.R","W.L","y10","y01","y11"
"155","NES",3038758,"upper","STDO",10134,1191.815,1,3.667,2.334,2.333,0.5,14.828,75,2,5000,0,0,0,1
"158","NES",3038758,"upper","STDO",10136,1305.874,1,3.667,2.334,2.333,0.5,15.121,63,2,5000,0,0,0,1
"159","NES",3038759,"upper","STDO",10138,2170.53,0,3,0.783,3,0.5,15.455,33,2,5000,0,0,1,0
"162","NES",3038999,"upper","STDO",10140,645.7125,1,3,0,3,0.5,16.939,21,2,5000,0,1,0,0
"164","NES",3039001,"upper","STDO",10143,3159.41,1,2.5,0,3,0.5,17.811,43,2,5000,0,1,0,0
"166","NES",3039242,"upper","STDO",10146,1943.217,1,2.843,0,3,0.5,19.024,26,2,5000,0,0,0,1
"168","NES",3039483,"upper","STDO",10149,1453.383,1,2,0,3,0.5,19.606,45,2,5000,0,0,0,1
"169","NES",3039483,"upper","STDO",10150,1406.777,1,2,0,3,0.5,19.752,24,2,5000,0,1,0,0
"171","NES",3039967,"upper","STDO",10164,4257.499,1,1.647,1,3,0.5,22.776,35,2,5000,0,0,0,1
"174","NES",3040208,"upper","STDO",10173,3568.681,0,1,3,3,0.5,10.434,85,2,5000,0,0,1,0
"175","NES",3041417,"upper","STDO",10209,437.5525,1,2,0,3,0.5,20.007,33,2,5000,0,1,0,0
"178","NES",3041418,"upper","STDO",10214,2859.702,1,2,2.029,3,0.5,21.078,43,2,5000,0,1,0,0
"180","NES",3041660,"upper","STDO",10218,1794.898,1,2.568,3,3,0.5,22.326,38,2,5000,0,0,0,1
"182","NES",3040223,"upper","STDO",10238,910.8755,1,2.553,1.266,3,0.3,14.548,38,2,5000,0,0,0,1
"183","NES",3039023,"upper","STDO",10252,604.4211,1,0.093,0,3,0.3,18.134,37,2,5000,0,0,0,1
"186","NES",3039023,"upper","STDO",10253,1317.548,1,0.093,0,3,0.3,18.23,117,2,5000,0,0,0,1
"188","NES",3038064,"upper","STDO",10259,680.5093,1,2.018,2.991,3,0.3,20.995,39,2,5000,0,0,0,1
"189","NES",3037584,"upper","STDO",10267,4640.39,1,1,3,3,0.3,22.298,67,2,5000,0,0,0,1
"191","NES",3036864,"upper","STDO",10285,3167.121,1,0.5,3,3,0.2,11.009,102,2,5000,0,0,0,1
"194","NES",3036864,"upper","STDO",10288,604.4211,1,0.5,3,3,0.2,11.298,118,2,5000,0,0,0,1
"196","NES",3036385,"upper","STDO",10290,1751.654,0,1.6,2.267,3,0.2,12.408,29,2,5000,0,0,1,0
"198","NES",3036385,"upper","STDO",10291,839.0613,1,1.6,2.267,3,0.2,12.511,18,2,5000,0,1,0,0
"199","NES",3035905,"upper","STDO",10296,4227.263,1,3.553,2,2.309,0.2,13.451,72,2,5000,0,0,0,1
"201","NES",3035905,"upper","STDO",10297,736.8605,1,3.553,2,2.309,0.2,13.474,55,2,5000,0,0,0,1
"203","NES",3035905,"upper","STDO",10298,170.2195,1,3.553,2,2.309,0.2,13.684,85,2,5000,0,0,0,1
"205","NES",3035428,"upper","STDO",10331,3454.448,0,4,1,2,0.1,18.054,34,2,5000,0,0,1,0
"208","NES",3035428,"upper","STDO",10334,3859.901,1,4,1,2,0.1,18.124,56,2,5000,0,1,0,0
"210","NES",3035914,"upper","STDO",10365,83.31352,1,3.093,3,2.754,0.1,21.717,27,2,5000,0,1,0,0
"212","NES",3035427,"upper","STDO",10368,1558.596,0,4.116,1,2,0.1,17.787,18,2,5000,0,0,1,0
"214","NES",3035914,"upper","STDO",10369,205.1064,0,3.093,3,2.754,0.1,21.572,28,2,5000,0,0,1,0
"216","NES",3036601,"upper","STDO",10472,1497.151,1,3.5,1,3,0.1,14.829,34,2,5000,0,1,0,0
"218","NES",3042094,"upper","STDO",10507,2807.724,1,2,3,3,0.2,10.308,43,2,5000,0,1,0,0
"220","NES",3042335,"upper","STDO",10511,2733.59,1,1.88,3,3,0.3,11.137,85,2,5000,0,0,0,1
"221","NES",3042577,"upper","STDO",10516,793.1052,1,2.749,2.375,3,0.1,12.473,93,2,5000,0,0,0,1
"223","NES",3042577,"upper","STDO",10517,1724.99,1,2.749,2.375,3,0.1,12.638,12,2,5000,0,0,0,1
"225","NES",3042818,"upper","STDO",10519,627.2354,1,2.37,1.185,3,0.3,15.167,27,2,5000,0,0,0,1
"228","NES",3040670,"upper","STDO",10603,4009.431,1,4.4,2.502,2,0.5,11.688,137,2,5000,0,0,0,1
"230","NES",3039711,"upper","STDO",10609,2355.965,1,2.652,1.762,3,0.5,14.154,57,2,5000,0,0,0,1
"231","NES",3039711,"upper","STDO",10610,2259.333,1,2.652,1.762,3,0.5,14.604,48,2,5000,0,0,0,1
"234","NES",3039231,"upper","STDO",10614,242.0264,1,2.979,0.786,3,0.2,16.8,64,2,5000,0,0,0,1
"235","NES",3039231,"upper","STDO",10617,1426.695,1,2.979,0.786,3,0.2,16.952,8,2,5000,0,1,0,0
"237","NES",3038991,"upper","STDO",10620,3829.721,1,3.6,1,3,0.2,17.753,82,2,5000,0,1,0,0
"240","NES",3038271,"upper","STDO",10623,2885.715,1,4.48,2,2,0.2,20.057,43,2,5000,0,1,0,0
"242","NES",3037791,"upper","STDO",10629,173.7402,1,4.5,2,2,0.2,21.141,9,2,5000,0,1,0,0
"243","NES",3037791,"upper","STDO",10630,1186.215,0,4.5,2,2,0.2,21.293,5,2,5000,0,0,1,0
"245","NES",3036157,"upper","STDO",10726,827.7731,1,2.38,1,3,0.5,19.876,8,2,5000,0,1,0,0
